"Frekvence 1 - Youradio Československé hity","http://ice.actve.net/web-e2-csweb"
"Rádio Diana – Retro Club","https://westradio.cz/radio/8000/radio.mp3"
"ČRo Jazz","http://icecast1.play.cz/crojazz128.mp3"
"Rádio Junior","http://amp.cesnet.cz:8000/cro-radio-junior-256.ogg.m3u"
"ČRo Pardubice","http://icecast2.play.cz/cropardubice128.mp3"
"ČRo Ostrava","http://icecast2.play.cz/croov128.mp3"
"ČRo Karlovy Vary","http://icecast2.play.cz/crokv128.mp3"
"ČRo Olomouc","http://icecast2.play.cz/crool128.mp3"
"Hitrádio City Brno","http://ice.abradio.cz/magicbrno128.mp3"
"Radio City FM","http://ice.abradio.cz/cityfm128.mp3"
"Pigy.cz – Disko Trysko","http://ice.actve.net/web-pg-disko"
"ČRo Radiožurnál","http://icecast1.play.cz:8000/cro132aac"
"Rádio MB","http://icecast3.play.cz/radiomb.mp3"
"Frekvence 1 - Youradio Osmdesátky","http://ice.actve.net/web-80"
"Rádio Click & Country","http://radio.clickandcountry.cz:8000/clickandcountry.mp3"
"Rádio Dráťák","http://dratak.cz:8000/dratak"
"Rádio 7 32kb","http://icecast1.play.cz:8000/radio7cz32.mp3"
"Rádio 7","http://icecast8.play.cz/radio7-128.mp3"
"Hlas Prahy","http://icecast9.play.cz/radiohlasprahy.mp3"
"Expresradio","http://icecast5.play.cz:8000/expres128mp3"
"WebRadio Epigon","http://ice3.abradio.cz/epigon128.mp3"
"ČRo Radio Wave","http://icecast1.play.cz:8000/crowave32aac"
"Radio Ostravan","http://icecast9.play.cz/radio-ostravan-256.mp3"
"JuKej Rádio","http://daniel.torontocast.com:1870/stream"
"Hitrádio City 93,7 FM","http://20853.live.streamtheworld.com/HITRADIO_CITY_PRAHA_128.mp3"
"Getradio","https://tcpower.eu:8443/getradio"
"ČRo Region - Praha a střední Čechy","http://icecast2.play.cz/croregion128.mp3"
"ČRo Vysočina","http://icecast2.play.cz/crovysocina128.mp3"
"Radio Jazzinec","http://ice3.abradio.cz/jazzinec128.mp3"
"Color Music Radio","http://icecast6.play.cz/color192.mp3"
"Rádio Západ","http://icecast9.play.cz/radio-zapad-128.mp3"
"Frekvence 1 - Youradio Legendy","http://ice.actve.net/web-f1-legendy"
"Chat Rádio","http://radio.chatujme.cz:8001/chatradio"
"Rádio G6 (Gipsy Radio)","http://mpc.mediacp.eu:8400/stream"
"Hitrádio PopRock","http://ice.abradio.cz/hitpoprock128.mp3"
"Radio Orlicko","http://46.28.111.246/stream192.mp3"
"ČRo Radio Wave","http://amp.cesnet.cz:8000/cro-radio-wave-256.ogg"
"ČRo Liberec","http://icecast2.play.cz/croliberec128.mp3"
"ČRo Regina DAB Praha","http://icecast2.play.cz/croregina128.mp3"
"Radio 66","http://ice3.abradio.cz/route128.mp3"
"TLIG Radio Czech","http://46.28.49.164:7812/stream"
"Rock zábava","http://mp3stream4.abradio.cz/rockzabava128.mp3"
"METAL HEART RADIO ","http://fr.radio-streamhosting.com:8000/metalheartradio128mp3"
"ČRo Radio Junior Pisnicky","http://icecast7.play.cz:8000/crojuniormini32.mp3"
"Netro Life Radio 100,8 FM","https://icecast9.play.cz/netro-life-radio.mp3"
"RADIO1","http://www.play.cz/radio/radio1-192.mp3.m3u"
"Rádio Beat (128 AAC)","https://icecast2.play.cz/beat128aac"
"City Milenium","http://ice.abradio.cz:8000/citymi128.mp3"
"Rádio Deep","http://184.75.223.178:8058/stream"
"ČRo Dvojka","http://icecast5.play.cz:8000/cro2-32.mp3"
"ČRo Dvojka","http://icecast1.play.cz:8000/cro2-32aac"
"ČRo D-dur","http://icecast1.play.cz:8000/croddur32aac"
"ČRo Vltava","http://icecast2.play.cz:8000/cro3-32aac"
"ČRo Rádio Junior","http://icecast3.play.cz:8000/crojuniormaxi32aac"
"Rádio Blatná 89,7 FM","http://vserver.sporknet.cz:8889/test.mp3"
"COOP TIP Radio","http://mp3stream4.abradio.cz:8000/coop128.mp3"
"ČRo Vltava","https://ice3.abradio.cz/cro3-128.aac"
"Český rozhlas Plus","http://icecast1.play.cz/croplus32.mp3"
"Radio 1","http://www.play.cz/radio/radio1-32.aac.m3u"
"DWG Radio Český","https://server25530.streamplus.de/;stream.mp3"
"Radio Blaník","http://ice.abradio.cz/blanikfm64.mp3"
"COOP TIP Radio","http://ice4.abradio.cz/coop128.mp3"
