"Radio Noordvaarder Angel Healing","http://www1.radionoordvaarder.nl:8000/;"
"The Boom Room 24/7","http://stream.radiocorp.nl/web12_mp3"
"538","http://playerservices.streamtheworld.com/api/livestream-redirect/TLPSTR09.mp3"
"Pinguin on the Rocks","http://po192.pinguinradio.com/listen.pls"
"Sky Radio Smooth Hits","http://provisioning.streamtheworld.com/pls/SRGSTR15AAC.pls"
"Dolfijn FM 97.3 Seaquarium Beach","http://85.214.231.253:8080/stream.mp3"
"Concertzender","http://streams.greenhost.nl:8080/live"
"Qmusic","http://icecast-qmusic.cdp.triple-it.nl/Qmusic_nl_live_32.aac"
"NPO Radio 2","http://icecast.omroep.nl/radio2-sb-aac"
"Old Men's Radio","http://server-10.stream-server.nl:8140/"
"Freak31","http://stream.freak31.com:8322/"
"1 MINI 2","http://centauri.shoutca.st:9064/;"
"Q-Maximum Hits","http://20723.live.streamtheworld.com/QMAXIMUMHITS.mp3"
"RBI Radio","http://streamplus18.leonex.de:18576/listen.pls"
"Joe NL","https://icecast-qmusicnl-cdp.triple-it.nl/Joe_nl_1_96.mp3"
"Sublime - Pure Jazz","http://playerservices.streamtheworld.com/api/livestream-redirect/SUBLIMEPUREJAZZ.mp3"
"Pinguin Indie","http://streams.pinguinradio.com/PinguinRadio192.mp3"
"Masters of Hardcore Radio","https://20073.live.streamtheworld.com/MASTERSOFHARDCORE.mp3"
"Radio Unique FM /mobile","https://cc5.beheerstream.com/proxy/hilversumdrie?mp=/mobile"
"Fresh FM 104.3 Oranjestad","http://www.fresharuba.com:8006/;"
"NPO FunX Latin","http://icecast.omroep.nl/funx-latinfb-bb-mp3"
"Radio 538 Nonstop","http://playerservices.streamtheworld.com/m3u/TLPSTR09.m3u"
"Radio 538 Verrückte Stunde","http://playerservices.streamtheworld.com/m3u/TLPSTR21.m3u"
"Radio 538 Ibiza","http://playerservices.streamtheworld.com/m3u/TLPSTR19.m3u"
"Concertzender Jazz","http://streams.greenhost.nl:8080/jazz"
"Sky Radio Lovesongs","http://provisioning.streamtheworld.com/pls/SRGSTR03AAC.pls"
"Sky Radio 101 FM","http://playerservices.streamtheworld.com/api/livestream-redirect/SKYRADIOAAC.aac"
"Concertzender X-Rated","http://streams.greenhost.nl:8080/concertzenderlive"
"NPO 3FM KXradio","http://icecast.omroep.nl/3fm-serioustalent-mp3"
"Bonanza XL","http://178.19.116.3:8063/bonanza_mp3"
"Radio Rijnmond","http://d2e9xgjjdd9cr5.cloudfront.net/icecast/rijnmond/radio-mp3"
"Radio Garuda","http://162.244.80.245:8012/"
"SLAM! Housuh In De Pauzuh","http://stream.slam.nl/WEB16_MP3"
"KINK DNA","http://playerservices.streamtheworld.com/pls/KINK_DNAAAC.pls"
"Radio Tijdloos","https://kathy.torontocast.com:2310/stream"
"Radio Centraal 106.7FM","http://streams.movemedia.eu:8530/"
"Nostalgie Vlaanderen","https://playerservices.streamtheworld.com/api/livestream-redirect/NOSTALGIEWHATAFEELING.mp3?dist=radiobrowser"
"StadsradioDelft","https://msic.mx-cd.net/234-2008284/Stadsradio_Delft"
"FunX Slow Jamz","http://icecast.omroep.nl/funx-slowjamzfb-bb-mp3.m3u"
"i-turn radio","http://live.i-turnradio.nl/live"
"Mega Hit FM 101.1","http://megaspice.primcast.com:5216/"
"Concertzender De Gehoorde Stilte","http://streams.greenhost.nl:8080/gehoordestilte"
"Concertzender Wereldmuziek","http://streams.greenhost.nl:8080/wereldmuziek"
"Concertzender Jazznotjazz","http://streams.greenhost.nl:8080/jazznotjazz"
"Nashville FM","http://server-10.stream-server.nl:8300/"
"IndieXL","http://www.indiexl.nl/luister48.pls"
"Candlelight","http://candlelight.live-streams.nl/candlelight"
"Radio Continu","http://stream.radiocontinu.nl/radiocontinu"
"Qmusic nonstop","http://icecast-qmusic.cdp.triple-it.nl/Qmusic_nl_nonstop_32.aac"
"Den Haag FM","http://82.94.205.122/proxy/haagseomroep?mp=/denhaagfm"
"Pinguin Radio","http://streams.pinguinradio.com/PinguinRadio320.mp3"
"GigantFM","http://178.19.116.253:7204/;"
